ATP,Airline Transport Pilot Certificate,,,,,,,,,,,,,,,,,,,,,,,,
ATR,Airline Transport Rating,,,,,,,,,,,,,,,,,,,,,,,,
ATTN,Attention,,,,,,,,,,,,,,,,,,,,,,,,
AUTH,Authority/Authorized,,,,,,,,,,,,,,,,,,,,,,,,
AUTO,Automatic,,,,,,,,,,,,,,,,,,,,,,,,
AUX,Auxiliary,,,,,,,,,,,,,,,,,,,,,,,,
AVG,Average,,,,,,,,,,,,,,,,,,,,,,,,
AVGAS,Aviation Gasoline,,,,,,,,,,,,,,,,,,,,,,,,
AWOS,Automatic Weather Observing/Reporting System,,,,,,,,,,,,,,,,,,,,,,,,
"BAL (S, ED, ING)",Balance,,,,,,,,,,,,,,,,,,,,,,,,
BASE OPS,Base Operations Office,,,,,,,,,,,,,,,,,,,,,,,,
BC,Back Course,,,,,,,,,,,,,,,,,,,,,,,,
BCSTN,Broadcast Station,,,,,,,,,,,,,,,,,,,,,,,,
BFR,Biennial Flight Review,,,,,,,,,,,,,,,,,,,,,,,,
BKN,Broken,,,,,,,,,,,,,,,,,,,,,,,,
BRITE,Bright Radar Indicator Tower Equipment,,,,,,,,,,,,,,,,,,,,,,,,
BTWN,Between,,,,,,,,,,,,,,,,,,,,,,,,
C,Celsius,,,,,,,,,,,,,,,,,,,,,,,,
CAB,Cabin Attendant,,,,,,,,,,,,,,,,,,,,,,,,
CADC,Central Air Data Computer,,,,,,,,,,,,,,,,,,,,,,,,
CAP,Civil Air Patrol,,,,,,,,,,,,,,,,,,,,,,,,
CAPT,Captain,,,,,,,,,,,,,,,,,,,,,,,,
CARB,Carburetor,,,,,,,,,,,,,,,,,,,,,,,,
CAT,Category,,,,,,,,,,,,,,,,,,,,,,,,
CAT,Clear Air Turbulence,,,,,,,,,,,,,,,,,,,,,,,,
CAWS,Central Aural Warning System,,,,,,,,,,,,,,,,,,,,,,,,
CB,Circuit Breaker,,,,,,,,,,,,,,,,,,,,,,,,
CD,Clearance Delivery,,,,,,,,,,,,,,,,,,,,,,,,
CDI,Course Deviation Indicator,,,,,,,,,,,,,,,,,,,,,,,,
CDT,Central Daylight Time,,,,,,,,,,,,,,,,,,,,,,,,
CDU,Control Display Unit,,,,,,,,,,,,,,,,,,,,,,,,
CFI,Certified Flight Instructor,,,,,,,,,,,,,,,,,,,,,,,,
CFIT,Controlled Flight Into Terrain,,,,,,,,,,,,,,,,,,,,,,,,
CFR,Crash Fire Rescue Equipment,,,,,,,,,,,,,,,,,,,,,,,,
CGP,Company Ground Personnel,,,,,,,,,,,,,,,,,,,,,,,,
"CHK (S, ED, ING)",Check,,,,,,,,,,,,,,,,,,,,,,,,
CIC,Controller In Charge,,,,,,,,,,,,,,,,,,,,,,,,
"CLB (S, ED, ING)",Climb,,,,,,,,,,,,,,,,,,,,,,,,
"CLR (S, ED, ING)",Clear,,,,,,,,,,,,,,,,,,,,,,,,
CLRNC,Clearance,,,,,,,,,,,,,,,,,,,,,,,,
COM(S),Communication,,,,,,,,,,,,,,,,,,,,,,,,
CONFIG,Configuration,,,,,,,,,,,,,,,,,,,,,,,,
COORD,Coordination,,,,,,,,,,,,,,,,,,,,,,,,
CPU,Central Processing Unit,,,,,,,,,,,,,,,,,,,,,,,,
CRM,Cockpit Resource Management,,,,,,,,,,,,,,,,,,,,,,,,
CRT,Cathode Ray Tube,,,,,,,,,,,,,,,,,,,,,,,,
CSD,Constant Speed Drive,,,,,,,,,,,,,,,,,,,,,,,,
CST,Central Standard Time,,,,,,,,,,,,,,,,,,,,,,,,
CTAF,Common Traffic Advisory Frequency,,,,,,,,,,,,,,,,,,,,,,,,
"CTL (S, ED, ING)",Control,,,,,,,,,,,,,,,,,,,,,,,,
"CTLR (S,'S)",Controller,,,,,,,,,,,,,,,,,,,,,,,,
CTR,Center,,,,,,,,,,,,,,,,,,,,,,,,
DB,Decibel,,,,,,,,,,,,,,,,,,,,,,,,
DCU,Data Control Unit,,,,,,,,,,,,,,,,,,,,,,,,
DEG(S),Degree,,,,,,,,,,,,,,,,,,,,,,,,
DEMO,Demonstration,,,,,,,,,,,,,,,,,,,,,,,,
DEP(S),Departure,,,,,,,,,,,,,,,,,,,,,,,,
DEPT(S),Department,,,,,,,,,,,,,,,,,,,,,,,,
DEST(S),Destination,,,,,,,,,,,,,,,,,,,,,,,,
DEV(S),Deviation,,,,,,,,,,,,,,,,,,,,,,,,
DF,Direction Finder,,,,,,,,,,,,,,,,,,,,,,,,
DFDR,Digital Flight Data Recorder,,,,,,,,,,,,,,,,,,,,,,,,
DFGS,Digital Flight Guidance System,,,,,,,,,,,,,,,,,,,,,,,,
DGPS,Differential Global Positioning System,,,,,,,,,,,,,,,,,,,,,,,,
DH,Decision Height,,,,,,,,,,,,,,,,,,,,,,,,
DISTR,Distraction,,,,,,,,,,,,,,,,,,,,,,,,
DME,Distance Measuring Equipment,,,,,,,,,,,,,,,,,,,,,,,,
DOD,Department Of Defense,,,,,,,,,,,,,,,,,,,,,,,,
DOE,Department Of Energy,,,,,,,,,,,,,,,,,,,,,,,,
DOT,Department Of Transportation,,,,,,,,,,,,,,,,,,,,,,,,
DSCNT,Descent,,,,,,,,,,,,,,,,,,,,,,,,
"DSND (S, ED, ING)",Descend,,,,,,,,,,,,,,,,,,,,,,,,
DVFR,Defense Visual Flight Rules,,,,,,,,,,,,,,,,,,,,,,,,
EAC,Expected Approach Clearance,,,,,,,,,,,,,,,,,,,,,,,,
EAT,Expected Approach Time,,,,,,,,,,,,,,,,,,,,,,,,
EBND,Eastbound,,,,,,,,,,,,,,,,,,,,,,,,
ECAM,Electronic Centralized Aircraft Monitoring,,,,,,,,,,,,,,,,,,,,,,,,
EDT,Eastern Daylight Time,,,,,,,,,,,,,,,,,,,,,,,,
EFIS,Electronic Flight Instrument System,,,,,,,,,,,,,,,,,,,,,,,,
EICAS,Engine Indicating and Crew Alerting System,,,,,,,,,,,,,,,,,,,,,,,,
ELT,Emergency Locator Transmitter,,,,,,,,,,,,,,,,,,,,,,,,
EMER(S),Emergency,,,,,,,,,,,,,,,,,,,,,,,,
EMI,Electromagnetic Interference,,,,,,,,,,,,,,,,,,,,,,,,
EMS,Emergency Medical Service,,,,,,,,,,,,,,,,,,,,,,,,
ENG,Engine,,,,,,,,,,,,,,,,,,,,,,,,
ENGR,Engineer,,,,,,,,,,,,,,,,,,,,,,,,
ENRTE,En Route,,,,,,,,,,,,,,,,,,,,,,,,
EQUIP,Equipment,,,,,,,,,,,,,,,,,,,,,,,,
EROPS,Extended Range Operations,,,,,,,,,,,,,,,,,,,,,,,,
EST,Eastern Standard Time,,,,,,,,,,,,,,,,,,,,,,,,
EST,"Estimate, Estimation",,,,,,,,,,,,,,,,,,,,,,,,
ETA,Estimated Time Of Arrival,,,,,,,,,,,,,,,,,,,,,,,,
ETD,Estimated Time Of Departure,,,,,,,,,,,,,,,,,,,,,,,,
ETOPS,Extended Range Twin Operations,,,,,,,,,,,,,,,,,,,,,,,,
"EVAC (S,ED)",Evacuate/Evacuation,,,,,,,,,,,,,,,,,,,,,,,,
EVAL,"Evaluate, Evaluation",,,,,,,,,,,,,,,,,,,,,,,,
EXAM,Examination,,,,,,,,,,,,,,,,,,,,,,,,
F,Fahrenheit,,,,,,,,,,,,,,,,,,,,,,,,
FA('S),Flight Attendant,,,,,,,,,,,,,,,,,,,,,,,,
FAA,Federal Aviation Administration,,,,,,,,,,,,,,,,,,,,,,,,
FAC,Facility,,,,,,,,,,,,,,,,,,,,,,,,
FAF,Final Approach Fix,,,,,,,,,,,,,,,,,,,,,,,,
FAM,Federal Air Marshal,,,,,,,,,,,,,,,,,,,,,,,,
FAR(S),Federal Aviation Regulation,,,,,,,,,,,,,,,,,,,,,,,,
FAX,Facsimile,,,,,,,,,,,,,,,,,,,,,,,,
FBO,Fixed-Base Operator,,,,,,,,,,,,,,,,,,,,,,,,
FCC,Federal Communications Commission,,,,,,,,,,,,,,,,,,,,,,,,
FCDU,Flight Control Data Concentrator,,,,,,,,,,,,,,,,,,,,,,,,
FCU,Flight Control Unit,,,,,,,,,,,,,,,,,,,,,,,,
FD,Flight Director,,,,,,,,,,,,,,,,,,,,,,,,
FE('S),Flight Engineer,,,,,,,,,,,,,,,,,,,,,,,,
FGC,Flight Guidance Computer,,,,,,,,,,,,,,,,,,,,,,,,
FGS,Flight Guidance Unit,,,,,,,,,,,,,,,,,,,,,,,,
FIDO,Flight Inspection District Office,,,,,,,,,,,,,,,,,,,,,,,,
FL,Flight Level,,,,,,,,,,,,,,,,,,,,,,,,
FLC,Flight Crew,,,,,,,,,,,,,,,,,,,,,,,,
FLIP,Flight Information Publication,,,,,,,,,,,,,,,,,,,,,,,,
FLT,Flight,,,,,,,,,,,,,,,,,,,,,,,,
FM,Frequency Modulation,,,,,,,,,,,,,,,,,,,,,,,,
FMA,Flight Mode Annunciator,,,,,,,,,,,,,,,,,,,,,,,,
FMC,Flight Management Computer,,,,,,,,,,,,,,,,,,,,,,,,
FMGC,Flight Management Guidance Computer,,,,,,,,,,,,,,,,,,,,,,,,
FMGS,Flight Management Guidance System,,,,,,,,,,,,,,,,,,,,,,,,
FMS,Flight Management System,,,,,,,,,,,,,,,,,,,,,,,,
FO,First Officer,,,,,,,,,,,,,,,,,,,,,,,,
FOD,Foreign Object Damage,,,,,,,,,,,,,,,,,,,,,,,,
FPM,Feet Per Minute,,,,,,,,,,,,,,,,,,,,,,,,
FREQ(S),Frequency,,,,,,,,,,,,,,,,,,,,,,,,
FSDO,Flight Standards District Office,,,,,,,,,,,,,,,,,,,,,,,,
FSS,Flight Service Station,,,,,,,,,,,,,,,,,,,,,,,,
FSS('S),Flight Service Station Specialist,,,,,,,,,,,,,,,,,,,,,,,,
FT,Feet/Foot,,,,,,,,,,,,,,,,,,,,,,,,
FYI,For Your Information,,,,,,,,,,,,,,,,,,,,,,,,
GA,General Aviation,,,,,,,,,,,,,,,,,,,,,,,,
GADO,General Aviation District Office,,,,,,,,,,,,,,,,,,,,,,,,
GAR,Go Around,,,,,,,,,,,,,,,,,,,,,,,,
GC,Ground Control,,,,,,,,,,,,,,,,,,,,,,,,
GHZ,Gigahertz,,,,,,,,,,,,,,,,,,,,,,,,
GMT,Greenwich Mean Time,,,,,,,,,,,,,,,,,,,,,,,,
"GND (S, ED, ING)",Ground,,,,,,,,,,,,,,,,,,,,,,,,
GND SPD,Ground Speed,,,,,,,,,,,,,,,,,,,,,,,,
GNS,Global Navigation System,,,,,,,,,,,,,,,,,,,,,,,,
GOV,Government,,,,,,,,,,,,,,,,,,,,,,,,
GPS,Global Positioning System,,,,,,,,,,,,,,,,,,,,,,,,
GPWS,Ground Proximity Warning System,,,,,,,,,,,,,,,,,,,,,,,,
GS,Glideslope (One Word),,,,,,,,,,,,,,,,,,,,,,,,
HDG(S),Heading,,,,,,,,,,,,,,,,,,,,,,,,
HDOF(S),Handoff,,,,,,,,,,,,,,,,,,,,,,,,
HELI(S),Helicopter,,,,,,,,,,,,,,,,,,,,,,,,
HF,High Frequency,,,,,,,,,,,,,,,,,,,,,,,,
HGT,Height,,,,,,,,,,,,,,,,,,,,,,,,
HIALS,High Intensity Approach Light System,,,,,,,,,,,,,,,,,,,,,,,,
HIRL,High Intensity Runway Lights,,,,,,,,,,,,,,,,,,,,,,,,
HORIZ(LY),Horizontal,,,,,,,,,,,,,,,,,,,,,,,,
HQ,Headquarters,,,,,,,,,,,,,,,,,,,,,,,,
"HR (S,LY)",Hour,,,,,,,,,,,,,,,,,,,,,,,,
HSI,Horizontal Situation Indicator,,,,,,,,,,,,,,,,,,,,,,,,
HUD,Head Up Display,,,,,,,,,,,,,,,,,,,,,,,,
HVY,Heavy,,,,,,,,,,,,,,,,,,,,,,,,
HWY,Highway,,,,,,,,,,,,,,,,,,,,,,,,
HYD,Hydraulic,,,,,,,,,,,,,,,,,,,,,,,,
HZ,Hertz,,,,,,,,,,,,,,,,,,,,,,,,
IAF,Initial Approach Fix,,,,,,,,,,,,,,,,,,,,,,,,
IAP,Instrument Approach Procedure,,,,,,,,,,,,,,,,,,,,,,,,
IAS,Indicated Air Speed,,,,,,,,,,,,,,,,,,,,,,,,
IATA,International Air Transport Association,,,,,,,,,,,,,,,,,,,,,,,,
IAW,In Accordance With,,,,,,,,,,,,,,,,,,,,,,,,
ICAO,International Civil Aviation Organization,,,,,,,,,,,,,,,,,,,,,,,,
ID,Identification,,,,,,,,,,,,,,,,,,,,,,,,
IDENT,Identify,,,,,,,,,,,,,,,,,,,,,,,,
IF,Intermediate Fix,,,,,,,,,,,,,,,,,,,,,,,,
IFF,"Identification, Friend Or Foe",,,,,,,,,,,,,,,,,,,,,,,,
IFR,Instrument Flight Rules,,,,,,,,,,,,,,,,,,,,,,,,
IFSS,International Flight Service Station,,,,,,,,,,,,,,,,,,,,,,,,
ILS,Instrument Landing System,,,,,,,,,,,,,,,,,,,,,,,,
IMC,Instrument Meteorological Conditions,,,,,,,,,,,,,,,,,,,,,,,,
INBND,Inbound,,,,,,,,,,,,,,,,,,,,,,,,
INC,Incorporated,,,,,,,,,,,,,,,,,,,,,,,,
INFO,Information,,,,,,,,,,,,,,,,,,,,,,,,
INOP,Inoperative,,,,,,,,,,,,,,,,,,,,,,,,
INS,Inertial Navigation System,,,,,,,,,,,,,,,,,,,,,,,,
INST(S),Instrument,,,,,,,,,,,,,,,,,,,,,,,,
INTERFAC,Interfacility,,,,,,,,,,,,,,,,,,,,,,,,
INTERP,Interpretation,,,,,,,,,,,,,,,,,,,,,,,,
INTL,International,,,,,,,,,,,,,,,,,,,,,,,,
INTXN,Intersection,,,,,,,,,,,,,,,,,,,,,,,,
IOE,Initial Operating Experience,,,,,,,,,,,,,,,,,,,,,,,,
IRO,International Relief Officer,,,,,,,,,,,,,,,,,,,,,,,,
IRS/IRU,Inertial Reference System/Unit,,,,,,,,,,,,,,,,,,,,,,,,
ISDU,Inertial Navigation Display Unit,,,,,,,,,,,,,,,,,,,,,,,,
ISTR,"Instruct, Instructor",,,,,,,,,,,,,,,,,,,,,,,,
KG,Kilogram,,,,,,,,,,,,,,,,,,,,,,,,
KHZ,Kilohertz,,,,,,,,,,,,,,,,,,,,,,,,
KIAS,Knots Indicated Airspeed,,,,,,,,,,,,,,,,,,,,,,,,
KM,Kilometers,,,,,,,,,,,,,,,,,,,,,,,,
KT(S),Knot(S),,,,,,,,,,,,,,,,,,,,,,,,
KW,Kilowatt,,,,,,,,,,,,,,,,,,,,,,,,
L/R,Left/Right (Directions),,,,,,,,,,,,,,,,,,,,,,,,
LAT,Latitude,,,,,,,,,,,,,,,,,,,,,,,,
LB(S),Pound,,,,,,,,,,,,,,,,,,,,,,,,
LC,Local Control,,,,,,,,,,,,,,,,,,,,,,,,
LCD,Liquid Crystal Display,,,,,,,,,,,,,,,,,,,,,,,,
LCL,Local,,,,,,,,,,,,,,,,,,,,,,,,
LED,Light Emitting Diode,,,,,,,,,,,,,,,,,,,,,,,,
LF,Low Frequency,,,,,,,,,,,,,,,,,,,,,,,,
LIRL,Low Intensity Runway Edge Lights,,,,,,,,,,,,,,,,,,,,,,,,
LLWAS,Low Level Wind Shear Alert System,,,,,,,,,,,,,,,,,,,,,,,,
LLWS,Low Level Wind Shear,,,,,,,,,,,,,,,,,,,,,,,,
LMM,Compass Locator At Ils Middle Marker,,,,,,,,,,,,,,,,,,,,,,,,
LNAV,Lateral Navigation,,,,,,,,,,,,,,,,,,,,,,,,
LNDG,Landing,,,,,,,,,,,,,,,,,,,,,,,,
LOA,Letter Of Agreement,,,,,,,,,,,,,,,,,,,,,,,,
LOC,Localizer,,,,,,,,,,,,,,,,,,,,,,,,
LOM,Compass Locator At Ils Outer Marker,,,,,,,,,,,,,,,,,,,,,,,,
LONG,Longitude,,,,,,,,,,,,,,,,,,,,,,,,
LORAN,Long Range Navigation,,,,,,,,,,,,,,,,,,,,,,,,
LTR,Letter,,,,,,,,,,,,,,,,,,,,,,,,
LTSS,Less Than Standard Separation,,,,,,,,,,,,,,,,,,,,,,,,
LWOC,Landing Without Clrnc,,,,,,,,,,,,,,,,,,,,,,,,
M,Mach Number,,,,,,,,,,,,,,,,,,,,,,,,
MAG,Magnetic,,,,,,,,,,,,,,,,,,,,,,,,
MAINT,Maintenance,,,,,,,,,,,,,,,,,,,,,,,,
MALS,Medium Intensity Approach Lighting System,,,,,,,,,,,,,,,,,,,,,,,,
MALSF,Medium Intensity Approach Lighting System With Sequenced,,,,,,,,,,,,,,,,,,,,,,,,
MALSR,Medium Intensity Approach Lighting System With Runway Alignment Indicator Lights,,,,,,,,,,,,,,,,,,,,,,,,
MAP,Missed Approach Point,,,,,,,,,,,,,,,,,,,,,,,,
MAX,Maximum,,,,,,,,,,,,,,,,,,,,,,,,
MB,Millibars,,,,,,,,,,,,,,,,,,,,,,,,
MCA,Minimum Crossing Altitude,,,,,,,,,,,,,,,,,,,,,,,,
MCAS,Marine Corps Air Station,,,,,,,,,,,,,,,,,,,,,,,,
MCP,Mode Control Panel,,,,,,,,,,,,,,,,,,,,,,,,
MDA,Minimum Descent Altitude,,,,,,,,,,,,,,,,,,,,,,,,
MDT,Mountain Daylight Time,,,,,,,,,,,,,,,,,,,,,,,,
MEA,Minimum Enroute Altitude,,,,,,,,,,,,,,,,,,,,,,,,
MECH,Mechanic,,,,,,,,,,,,,,,,,,,,,,,,
MEL,Minimum Equipment List,,,,,,,,,,,,,,,,,,,,,,,,
METRO,Metropolitan,,,,,,,,,,,,,,,,,,,,,,,,
MF,Medium Frequency,,,,,,,,,,,,,,,,,,,,,,,,
MFDU,Multi Functional Display Unit,,,,,,,,,,,,,,,,,,,,,,,,
MGMNT,Management,,,,,,,,,,,,,,,,,,,,,,,,
MGR,Manager,,,,,,,,,,,,,,,,,,,,,,,,
MHZ,Megahertz,,,,,,,,,,,,,,,,,,,,,,,,
MI,Mile,,,,,,,,,,,,,,,,,,,,,,,,
"MIKE, MIC",Microphone,,,,,,,,,,,,,,,,,,,,,,,,
MIL,Military,,,,,,,,,,,,,,,,,,,,,,,,
MIN(S),Minute(S),,,,,,,,,,,,,,,,,,,,,,,,
MIRL,Medium Intensity Runway Edge Lights,,,,,,,,,,,,,,,,,,,,,,,,
MISC,Miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,
MLS,Microwave Landing System,,,,,,,,,,,,,,,,,,,,,,,,
MM,Middle Marker,,,,,,,,,,,,,,,,,,,,,,,,
MOA,Military Operating Area,,,,,,,,,,,,,,,,,,,,,,,,
MOCA,Minimum Obstruction Clearance Altitude,,,,,,,,,,,,,,,,,,,,,,,,
MSA,Minimum Safe Altitude,,,,,,,,,,,,,,,,,,,,,,,,
MSAW,Minimum Safe Altitude Warning,,,,,,,,,,,,,,,,,,,,,,,,
MSG,Message,,,,,,,,,,,,,,,,,,,,,,,,
MSL,Mean Sea Level,,,,,,,,,,,,,,,,,,,,,,,,
MST,Mountain Standard Time,,,,,,,,,,,,,,,,,,,,,,,,
MTR,Military Training Route,,,,,,,,,,,,,,,,,,,,,,,,
MUNI,Municipal,,,,,,,,,,,,,,,,,,,,,,,,
MVA,Minimum Vector Altitude,,,,,,,,,,,,,,,,,,,,,,,,
MVFR,Marginal Visual Flight Rules,,,,,,,,,,,,,,,,,,,,,,,,
"N,S,E,W","North, South, East, West",,,,,,,,,,,,,,,,,,,,,,,,
NAS,Naval Air Station,,,,,,,,,,,,,,,,,,,,,,,,
NASA,National Aeronautics and Space Administration,,,,,,,,,,,,,,,,,,,,,,,,
NATL,National,,,,,,,,,,,,,,,,,,,,,,,,
"NAV (S,ING)","Navigate, Navigation",,,,,,,,,,,,,,,,,,,,,,,,
NAVAID,Navigational Aid,,,,,,,,,,,,,,,,,,,,,,,,
NBND,Northbound,,,,,,,,,,,,,,,,,,,,,,,,
NDB,Nondirectional Radio Beacon,,,,,,,,,,,,,,,,,,,,,,,,
NDB/DME,NDB and DME (Co-located),,,,,,,,,,,,,,,,,,,,,,,,
NFCT,Non Federal Control Tower,,,,,,,,,,,,,,,,,,,,,,,,
NM,Nautical Mile,,,,,,,,,,,,,,,,,,,,,,,,
NMAC,Near Midair Collision,,,,,,,,,,,,,,,,,,,,,,,,
NOAA,National Oceanic and Atmospheric Administration,,,,,,,,,,,,,,,,,,,,,,,,
NORAC,No Radio Contact,,,,,,,,,,,,,,,,,,,,,,,,
NORDO,No Radio,,,,,,,,,,,,,,,,,,,,,,,,
NOTAM,Notice To Airmen,,,,,,,,,,,,,,,,,,,,,,,,
NTSB,National Transportation Safety Board,,,,,,,,,,,,,,,,,,,,,,,,
NWS,National Weather Service,,,,,,,,,,,,,,,,,,,,,,,,
OAT,Outside Air Temperature,,,,,,,,,,,,,,,,,,,,,,,,
OJT,On-The-Job Training,,,,,,,,,,,,,,,,,,,,,,,,
OM,Outer Marker,,,,,,,,,,,,,,,,,,,,,,,,
ONS,Omega Navigation System,,,,,,,,,,,,,,,,,,,,,,,,
OP(S),Operation(S),,,,,,,,,,,,,,,,,,,,,,,,
OPDEV,Operational Deviation,,,,,,,,,,,,,,,,,,,,,,,,
OPERROR,Operational Error,,,,,,,,,,,,,,,,,,,,,,,,
OTS,Out Of Service,,,,,,,,,,,,,,,,,,,,,,,,
OVCST,Overcast,,,,,,,,,,,,,,,,,,,,,,,,
PA,Public Address,,,,,,,,,,,,,,,,,,,,,,,,
PAPI,Precision Approach Path Indicator,,,,,,,,,,,,,,,,,,,,,,,,
PAR,Precision Approach Radar,,,,,,,,,,,,,,,,,,,,,,,,
PAX,Passenger,,,,,,,,,,,,,,,,,,,,,,,,
PCA,Positive Control Area,,,,,,,,,,,,,,,,,,,,,,,,
PCL,Pilot Controlled Lighting,,,,,,,,,,,,,,,,,,,,,,,,
PCU,Power Control Unit,,,,,,,,,,,,,,,,,,,,,,,,
PDC,Pre Departure Clearance,,,,,,,,,,,,,,,,,,,,,,,,
PDT,Pacific Daylight Time,,,,,,,,,,,,,,,,,,,,,,,,
PF,Pilot Flying,,,,,,,,,,,,,,,,,,,,,,,,
PIC,Pilot In Command,,,,,,,,,,,,,,,,,,,,,,,,
PIREP(S),Pilot Report,,,,,,,,,,,,,,,,,,,,,,,,
"PLT (S,'S)",Pilot,,,,,,,,,,,,,,,,,,,,,,,,
PLTDEV,Pilot Deviation,,,,,,,,,,,,,,,,,,,,,,,,
PM,Post Meridiem,,,,,,,,,,,,,,,,,,,,,,,,
PNF,Pilot Not Flying,,,,,,,,,,,,,,,,,,,,,,,,
POS,Position,,,,,,,,,,,,,,,,,,,,,,,,
PRECIP,Precipitation,,,,,,,,,,,,,,,,,,,,,,,,
PROB(S),Problem,,,,,,,,,,,,,,,,,,,,,,,,
PROC(S),Procedure,,,,,,,,,,,,,,,,,,,,,,,,
PROP(S),Propeller,,,,,,,,,,,,,,,,,,,,,,,,
PROX,Proximity,,,,,,,,,,,,,,,,,,,,,,,,
PST,Pacific Standard Time,,,,,,,,,,,,,,,,,,,,,,,,
PUB,Publication,,,,,,,,,,,,,,,,,,,,,,,,
PVT,Private,,,,,,,,,,,,,,,,,,,,,,,,
PWR,Power,,,,,,,,,,,,,,,,,,,,,,,,
QFE,Height Above Airport Elevation,,,,,,,,,,,,,,,,,,,,,,,,
QRH,Quick Reference Handbook,,,,,,,,,,,,,,,,,,,,,,,,
RA,Resolution Advisory,,,,,,,,,,,,,,,,,,,,,,,,
RAIL,Runway Alignment Indicator Lights,,,,,,,,,,,,,,,,,,,,,,,,
RAPCON,Radar Approach Control,,,,,,,,,,,,,,,,,,,,,,,,
RAT,Ram Air Turbine/Ram Air Temperature,,,,,,,,,,,,,,,,,,,,,,,,
RDMI,Radio Direction Magnetic Indicator,,,,,,,,,,,,,,,,,,,,,,,,
"REF (S, ED, ING)",Reference,,,,,,,,,,,,,,,,,,,,,,,,
REG(S),Regulation,,,,,,,,,,,,,,,,,,,,,,,,
REIL,Runway End Identifier Lights,,,,,,,,,,,,,,,,,,,,,,,,
RESTR,"Restrict, Restricted, Restriction",,,,,,,,,,,,,,,,,,,,,,,,
RF,Radio Frequency,,,,,,,,,,,,,,,,,,,,,,,,
